top1,wordofmouth,socialmedia,walkby,billboard,patronage,importantconvenience,importantvariety,importantprice,importanthealthy,importanttaste,importantambience,chipotleconvenient,chipotlevariety,chipotleprice,chipotlehealthy,chipotletaste,chipotleambience,gender,age,income,plan,spending,buylocal,healthyimportanttome
Applebees,Yes,No,No,No,0,4,4,5,4,5,5,5,5,4,5,5,5,Male,51,23649,2,2,5,2
Arbys,Yes,No,No,No,0,4,4,4,4,4,3,4,4,4,5,5,5,Male,51,14502,2,2,2,2
Arbys,No,No,Yes,No,0,3,4,4,4,5,4,3,5,4,4,5,5,Female,51,25063,3,4,2,2
Arbys,No,No,No,No,0,4,4,5,5,5,4,4,5,4,5,5,4,Female,34,39134,1,4,1,1
Burger King,No,Yes,No,No,0,4,5,5,5,5,5,3,4,4,5,3,3,Male,45,30362,2,2,2,2
Chick-Fil-A,Yes,No,No,No,0,5,4,5,5,5,5,3,3,3,3,3,3,Male,46,48366,3,2,2,2
Chick-Fil-A,No,No,Yes,No,0,5,5,5,5,5,5,5,5,5,5,5,5,Male,34,15315,3,4,1,1
Chick-Fil-A,No,No,Yes,No,0,4,4,4,4,4,4,3,3,3,3,3,3,Male,49,28872,2,2,2,2
Chick-Fil-A,No,No,Yes,No,1,5,3,5,2,5,4,3,2,4,4,4,4,Male,35,24330,3,2,,3
Chick-Fil-A,Yes,No,No,No,0,5,4,4,4,5,4,5,5,4,4,4,4,Male,21,58742,2,4,2,2
Chick-Fil-A,Yes,No,No,No,0,5,5,5,5,5,3,3,5,5,5,5,4,Male,31,40076,2,2,2,2
Chick-Fil-A,No,Yes,No,No,0,,,,,,,,,,,,,,,,,,,
Chick-Fil-A,Yes,No,No,No,1,4,4,5,5,5,4,3,3,1,3,3,3,Male,39,15629,2,2,1,1
Chick-Fil-A,Yes,No,No,No,0,4,4,5,5,5,4,4,5,5,5,5,4,Female,33,72657,1,2,1,1
Chick-Fil-A,No,No,No,No,2,,,,,,,,,,,,,Male,56,27994,2,2,2,2
Chick-Fil-A,No,No,Yes,No,0,5,5,5,4,4,3,3,3,2,,4,3,Male,64,59518,2,2,2,3
Chick-Fil-A,Yes,No,No,No,0,4,4,4,5,5,5,3,3,3,3,3,3,Female,34,17145,2,3,1,1
Chick-Fil-A,No,No,Yes,No,0,4,5,5,5,5,4,4,5,5,5,5,3,Male,54,44372,1,4,1,1
Chick-Fil-A,Yes,No,No,No,0,,,,,,,,,,,,,,,,,,,
Chick-Fil-A,Yes,No,No,No,0,5,5,5,5,5,5,5,5,2,5,5,5,Male,35,53772,3,2,2,2
Chick-Fil-A,Yes,No,No,No,0,5,5,5,5,5,5,3,3,3,4,4,3,Male,45,16333,2,2,2,2
Chick-Fil-A,Yes,No,No,No,0,5,4,4,5,5,4,5,5,4,5,5,3,Male,48,23232,2,3,2,1
Chick-Fil-A,No,No,No,No,2,,,,,,,,,,,,,Male,32,14108,2,1,1,1
Chick-Fil-A,No,No,Yes,No,0,5,4,5,5,5,5,4,3,4,4,4,3,Female,33,13572,1,1,2,2
Chick-Fil-A,Yes,No,No,No,0,5,5,5,5,5,4,4,3,3,4,4,4,Female,32,47226,2,4,2,2
Chick-Fil-A,Yes,No,No,No,3,5,5,5,5,5,5,4,4,4,4,4,4,Male,46,36060,1,4,2,2
Chick-Fil-A,No,No,Yes,No,0,5,4,5,4,,4,4,3,4,4,5,4,Male,52,85353,1,3,2,2
Chick-Fil-A,Yes,No,No,No,0,5,4,4,3,4,2,5,3,4,4,4,3,Male,69,83778,3,4,2,2
Chick-Fil-A,Yes,No,No,No,0,4,4,4,4,5,4,4,3,3,4,4,3,Male,32,86649,2,3,3,3
Chick-Fil-A,No,Yes,No,No,4,4,5,4,5,4,3,3,4,2,4,4,3,Male,50,26040,1,2,1,1
Chick-Fil-A,No,No,Yes,No,0,4,5,5,5,5,4,4,4,3,4,4,3,Male,49,49774,3,2,2,1
Chick-Fil-A,Yes,No,No,No,0,4,4,5,5,5,4,4,4,4,5,5,4,Male,48,40464,2,3,1,1
Chick-Fil-A,Yes,No,No,No,0,4,5,5,4,5,5,3,4,4,5,3,2,Male,35,48537,3,4,2,2
Chick-Fil-A,No,No,Yes,No,0,5,5,4,5,5,5,3,4,3,5,4,3,Male,56,67113,2,4,2,2
Chick-Fil-A,No,No,Yes,No,0,5,5,5,5,5,4,3,3,3,4,4,4,,,,,,,
Chick-Fil-A,No,No,Yes,No,0,5,5,5,5,5,5,3,5,5,5,5,3,Female,53,50400,3,2,1,1
Chick-Fil-A,Yes,No,No,No,0,4,4,5,5,5,4,5,5,3,4,5,3,Male,36,84261,2,2,2,1
Chick-Fil-A,Yes,No,No,No,2,4,3,5,4,5,4,3,3,2,4,3,3,Male,52,33460,2,4,2,1
Chipotle,Yes,No,No,No,0,5,4,2,2,5,4,4,3,2,4,,4,Male,49,71493,3,4,2,3
Chipotle,No,No,Yes,No,0,4,3,5,4,5,4,4,3,6,5,3,3,Male,49,38988,1,4,2,2
Chipotle,Yes,No,No,No,0,4,4,4,5,5,5,3,3,3,3,3,3,Female,34,17145,2,3,1,1
Chipotle,Yes,No,No,No,0,5,4,5,5,5,5,5,3,5,5,4,4,Male,52,32170,3,3,2,2
Chipotle,No,No,Yes,No,0,5,4,5,5,5,5,2,4,3,5,5,4,Male,20,40048,2,3,1,2
Chipotle,Yes,No,No,No,0,4,4,5,4,5,4,4,4,3,5,5,3,Female,59,75777,2,3,2,2
Chipotle,No,No,No,No,1,5,4,5,5,5,4,3,3,4,5,5,4,Male,24,58416,1,4,2,1
